OFFCHIP_PLATINUM_78kHz_IN-PHASE,OFFCHIP_GOLD_78kHz_IN-PHASE,OFFCHIP_PLATINUM_200Hz_IN-PHASE,OFFCHIP_PLATINUM_200Hz_QUADRATURE,OFFCHIP_GOLD_200Hz_IN-PHASE,OFFCHIP_GOLD_200Hz_QUADRATURE,OFFCHIP_SILVER_200Hz_IN-PHASE,OFFCHIP_SILVER_200Hz_QUADRATURE,OFFCHIP_NICKEL_200Hz_IN-PHASE,OFFCHIP_NICKEL_200Hz_QUADRATURE,CLASS
-4.259009905934363,-2.041444866650636,-42.91482713005098,-23.441414907372746,-9.703623331475683,-1.1123696102263239,-7.517414972386177,-5.008742697944399,-4.469052269907479,-1.8327900702929583,AMMONIA
-7.259009905934363,0.958555133349364,-34.91482713005098,-14.441414907372746,-12.703623331475683,0.8876303897736761,-7.517414972386177,-4.008742697944399,-0.46905226990747906,-0.8327900702929583,AMMONIA
-7.259009905934363,-1.041444866650636,-62.91482713005098,-25.441414907372746,-13.703623331475683,1.8876303897736761,-4.517414972386177,-4.008742697944399,-3.469052269907479,-0.8327900702929583,AMMONIA
-9.259009905934363,-1.041444866650636,93.08517286994902,49.558585092627254,-3.703623331475683,1.8876303897736761,-5.517414972386177,-4.008742697944399,-2.469052269907479,0.16720992970704174,AMMONIA
-6.259009905934363,-0.04144486665063596,-24.91482713005098,0.5585850926272542,-5.703623331475683,2.887630389773676,-8.517414972386177,-3.008742697944399,-4.469052269907479,-1.8327900702929583,AMMONIA
-6.259009905934363,-1.041444866650636,-34.91482713005098,-21.441414907372746,-2.703623331475683,1.8876303897736761,-7.517414972386177,-4.008742697944399,0.5309477300925209,-0.8327900702929583,AMMONIA
-9.259009905934363,-3.041444866650636,-10.91482713005098,-1.4414149073727458,-4.703623331475683,1.8876303897736761,-11.517414972386177,-4.008742697944399,-2.469052269907479,-2.8327900702929583,AMMONIA
-8.259009905934363,-4.041444866650636,-38.91482713005098,-19.441414907372746,-8.703623331475683,2.887630389773676,-7.517414972386177,-6.008742697944399,-5.469052269907479,-2.8327900702929583,AMMONIA
2.740990094065637,2.958555133349364,2.0851728699490195,-31.441414907372746,22.296376668524317,-36.112369610226324,7.482585027613823,-16.0087426979444,59.53094773009252,-43.83279007029296,AMMONIA
173.74099009406564,123.95855513334936,246.08517286994902,-60.441414907372746,53.29637666852432,-60.112369610226324,70.48258502761382,-58.0087426979444,66.53094773009252,-47.83279007029296,AMMONIA
332.74099009406564,140.95855513334936,415.085172869949,-24.441414907372746,67.29637666852432,-70.11236961022632,77.48258502761382,-73.0087426979444,58.53094773009252,-62.83279007029296,AMMONIA
467.74099009406564,199.95855513334936,675.085172869949,24.558585092627254,84.29637666852432,-83.11236961022632,78.48258502761382,-85.0087426979444,67.53094773009252,-65.83279007029296,AMMONIA
507.74099009406564,183.95855513334936,685.085172869949,60.558585092627254,97.29637666852432,-92.11236961022632,91.48258502761382,-99.0087426979444,51.53094773009252,-79.83279007029296,AMMONIA
555.7409900940656,204.95855513334936,791.085172869949,88.55858509262725,108.29637666852432,-101.11236961022632,105.48258502761382,-112.0087426979444,37.53094773009252,-85.83279007029296,AMMONIA
568.7409900940656,213.95855513334936,786.085172869949,100.55858509262725,102.29637666852432,-107.11236961022632,101.48258502761382,-116.0087426979444,17.53094773009252,-92.83279007029296,AMMONIA
580.7409900940656,214.95855513334936,809.085172869949,98.55858509262725,118.29637666852432,-111.11236961022632,104.48258502761382,-122.0087426979444,-15.469052269907479,-96.83279007029296,AMMONIA
592.7409900940656,224.95855513334936,820.085172869949,91.55858509262725,118.29637666852432,-115.11236961022632,106.48258502761382,-127.0087426979444,-20.46905226990748,-94.83279007029296,AMMONIA
639.7409900940656,239.95855513334936,859.085172869949,74.55858509262725,129.29637666852432,-124.11236961022632,118.48258502761382,-135.0087426979444,-32.46905226990748,-109.83279007029296,AMMONIA
685.7409900940656,256.95855513334936,959.085172869949,91.55858509262725,133.29637666852432,-130.11236961022632,119.48258502761382,-148.0087426979444,-52.46905226990748,-117.83279007029296,AMMONIA
741.7409900940656,345.95855513334936,1031.085172869949,79.55858509262725,175.29637666852432,-155.11236961022632,134.48258502761382,-151.0087426979444,-59.46905226990748,-120.83279007029296,AMMONIA
833.7409900940656,313.95855513334936,1138.085172869949,94.55858509262725,171.29637666852432,-167.11236961022632,153.48258502761382,-159.0087426979444,-65.46905226990748,-122.83279007029296,AMMONIA
926.7409900940656,368.95855513334936,1274.085172869949,109.55858509262725,199.29637666852432,-183.11236961022632,166.48258502761382,-175.0087426979444,-71.46905226990748,-144.83279007029296,AMMONIA
1009.7409900940656,387.95855513334936,1406.085172869949,143.55858509262725,212.29637666852432,-200.11236961022632,189.48258502761382,-191.0087426979444,-55.46905226990748,-199.83279007029296,AMMONIA
1158.7409900940656,454.95855513334936,1524.085172869949,132.55858509262725,231.29637666852432,-227.11236961022632,219.48258502761382,-200.0087426979444,-45.46905226990748,-175.83279007029296,AMMONIA
1277.7409900940656,487.95855513334936,1651.085172869949,127.55858509262725,246.29637666852432,-243.11236961022632,261.4825850276138,-216.0087426979444,-51.46905226990748,-189.83279007029296,AMMONIA
1460.7409900940656,508.95855513334936,1814.085172869949,115.55858509262725,258.2963766685243,-257.1123696102263,272.4825850276138,-223.0087426979444,-61.46905226990748,-200.83279007029296,AMMONIA
1563.7409900940656,561.9585551333494,1969.085172869949,145.55858509262725,289.2963766685243,-287.1123696102263,308.4825850276138,-236.0087426979444,-52.46905226990748,-229.83279007029296,AMMONIA
