OFFCHIP_PLATINUM_78kHz_IN-PHASE,OFFCHIP_GOLD_78kHz_IN-PHASE,OFFCHIP_PLATINUM_200Hz_IN-PHASE,OFFCHIP_PLATINUM_200Hz_QUADRATURE,OFFCHIP_GOLD_200Hz_IN-PHASE,OFFCHIP_GOLD_200Hz_QUADRATURE,OFFCHIP_SILVER_200Hz_IN-PHASE,OFFCHIP_SILVER_200Hz_QUADRATURE,OFFCHIP_NICKEL_200Hz_IN-PHASE,OFFCHIP_NICKEL_200Hz_QUADRATURE,CLASS
18.33404435095872,6.9552894515773005,54.61369642723366,4.543515141864191,13.309417203407065,-0.9590456022160652,10.669971502551562,-2.9540064472776066,17.954029672996512,-0.8628561678619917,POTASSIUM_NITRATE
19.33404435095872,6.9552894515773005,32.61369642723366,3.543515141864191,9.309417203407065,-4.959045602216065,10.669971502551562,1.0459935527223934,16.954029672996512,6.137143832138008,POTASSIUM_NITRATE
17.33404435095872,6.9552894515773005,109.61369642723366,43.54351514186419,7.309417203407065,-7.959045602216065,9.669971502551562,-1.9540064472776066,11.954029672996512,-0.8628561678619917,POTASSIUM_NITRATE
60.33404435095872,6.9552894515773005,66.61369642723366,-16.45648485813581,26.309417203407065,-22.959045602216065,95.66997150255156,-36.95400644727761,98.95402967299651,-35.86285616786199,POTASSIUM_NITRATE
272.3340443509587,92.9552894515773,184.61369642723366,-84.45648485813581,38.309417203407065,-30.959045602216065,60.66997150255156,-21.954006447277607,69.95402967299651,-33.86285616786199,POTASSIUM_NITRATE
452.3340443509587,187.9552894515773,388.61369642723366,-170.4564848581358,87.30941720340707,-121.95904560221607,234.66997150255156,-74.9540064472776,225.9540296729965,-188.862856167862,POTASSIUM_NITRATE
1504.3340443509587,495.9552894515773,883.6136964272337,-406.4564848581358,131.30941720340707,-136.95904560221607,208.66997150255156,-77.9540064472776,213.9540296729965,-131.862856167862,POTASSIUM_NITRATE
1385.3340443509587,335.9552894515773,780.6136964272337,-389.4564848581358,115.30941720340707,-123.95904560221607,236.66997150255156,-89.9540064472776,241.9540296729965,-136.862856167862,POTASSIUM_NITRATE
1464.3340443509587,339.9552894515773,813.6136964272337,-393.4564848581358,117.30941720340707,-127.95904560221607,231.66997150255156,-89.9540064472776,249.9540296729965,-133.862856167862,POTASSIUM_NITRATE
1475.3340443509587,340.9552894515773,934.6136964272337,-332.4564848581358,121.30941720340707,-125.95904560221607,229.66997150255156,-92.9540064472776,267.9540296729965,-165.862856167862,POTASSIUM_NITRATE
1635.3340443509587,398.9552894515773,973.6136964272337,-418.4564848581358,135.30941720340707,-142.95904560221607,271.66997150255156,-105.9540064472776,281.9540296729965,-153.862856167862,POTASSIUM_NITRATE
1690.3340443509587,391.9552894515773,973.6136964272337,-428.4564848581358,139.30941720340707,-141.95904560221607,268.66997150255156,-106.9540064472776,285.9540296729965,-154.862856167862,POTASSIUM_NITRATE
1706.3340443509587,393.9552894515773,960.6136964272337,-439.4564848581358,141.30941720340707,-140.95904560221607,272.66997150255156,-104.9540064472776,281.9540296729965,-157.862856167862,POTASSIUM_NITRATE
