OFFCHIP_PLATINUM_78kHz_IN-PHASE,OFFCHIP_GOLD_78kHz_IN-PHASE,OFFCHIP_PLATINUM_200Hz_IN-PHASE,OFFCHIP_PLATINUM_200Hz_QUADRATURE,OFFCHIP_GOLD_200Hz_IN-PHASE,OFFCHIP_GOLD_200Hz_QUADRATURE,OFFCHIP_SILVER_200Hz_IN-PHASE,OFFCHIP_SILVER_200Hz_QUADRATURE,OFFCHIP_NICKEL_200Hz_IN-PHASE,OFFCHIP_NICKEL_200Hz_QUADRATURE,CLASS
9.12644891696982,3.2090233497865484,-4.3497020235354285,-7.687697061933704,5.90319054293559,3.761601886459175,5.49347878428307,-0.6716396143206111,11.560848200531836,8.893335314763362,SODIUM_HYDROXIDE
9.12644891696982,2.2090233497865484,3.6502979764645715,-1.6876970619337044,-6.09680945706441,-1.2383981135408249,3.49347878428307,-0.6716396143206111,2.5608482005318365,2.8933353147633625,SODIUM_HYDROXIDE
9.12644891696982,2.2090233497865484,15.650297976464572,0.3123029380662956,15.90319054293559,-8.238398113540825,39.49347878428307,-10.671639614320611,55.56084820053184,-13.106664685236638,SODIUM_HYDROXIDE
197.12644891696982,56.20902334978655,103.65029797646457,-72.6876970619337,28.90319054293559,-29.238398113540825,45.49347878428307,-19.67163961432061,54.56084820053184,-24.106664685236638,SODIUM_HYDROXIDE
218.12644891696982,59.20902334978655,137.65029797646457,-60.687697061933704,29.90319054293559,-37.238398113540825,44.49347878428307,-22.67163961432061,53.56084820053184,-30.106664685236638,SODIUM_HYDROXIDE
227.12644891696982,63.20902334978655,127.65029797646457,-94.6876970619337,38.90319054293559,-43.238398113540825,65.49347878428307,-26.67163961432061,66.56084820053184,-34.10666468523664,SODIUM_HYDROXIDE
344.1264489169698,97.20902334978655,161.65029797646457,-126.6876970619337,52.90319054293559,-63.238398113540825,78.49347878428307,-33.67163961432061,80.56084820053184,-46.10666468523664,SODIUM_HYDROXIDE
365.1264489169698,100.20902334978655,228.65029797646457,-97.6876970619337,57.90319054293559,-64.23839811354082,82.49347878428307,-35.67163961432061,73.56084820053184,-59.10666468523664,SODIUM_HYDROXIDE
371.1264489169698,100.20902334978655,162.65029797646457,-131.6876970619337,43.90319054293559,-66.23839811354082,77.49347878428307,-39.67163961432061,74.56084820053184,-64.10666468523664,SODIUM_HYDROXIDE
387.1264489169698,147.20902334978655,311.65029797646457,-146.6876970619337,78.90319054293559,-82.23839811354082,121.49347878428307,-50.67163961432061,111.56084820053184,-78.10666468523664,SODIUM_HYDROXIDE
